site,sos_doy,baseline_evi
ABBY,73,0.320729377242494
BARR,129,-0.0682040986578071
BART,105,0.266979052605215
BLAN,81,0.244631910704766
BONA,97,0.0514923209305413
CLBJ,57,0.193271097665464
CPER,105,0.1392020700942
DCFS,105,0.163139071329813
DEJU,73,0.0469953276337487
DELA,57,0.200506420471659
DSNY,33,0.31321185551561
GRSM,81,0.230338293660718
HARV,105,0.280145299110046
HEAL,81,0.0193267044176021
JERC,57,0.292332958686597
JORN,81,0.10266965748862
KONA,57,0.18057455992741
KONZ,97,0.176591287597693
LENO,57,0.203367858335773
MLBS,97,0.237502089474887
MOAB,81,0.118764512120712
NIWO,121,0.0745867290195938
NOGP,105,0.208573086897156
OAES,57,0.158934002807926
ONAQ,57,0.131774935845304
ORNL,73,0.216722660991265
OSBS,49,0.311866396257269
RMNP,121,0.230114459125264
SCBI,81,0.195979958477809
SERC,81,0.229091430799633
SJER,289,0.201780818610119
SOAP,73,0.265812183003212
SRER,161,0.135397687847602
STEI-CHEQ,105,0.202938140165026
STEI-TREE,105,0.211091607544875
STER,73,0.150635356566212
TALL,73,0.277859578591761
TEAK,81,0.19453818301691
TOOL,121,-0.0209777563200244
UKFS,81,0.226339093274013
UNDE,105,0.207440418894656
WOOD,105,0.163139071329813
WREF,33,0.338536617052078
YELL,121,0.213985

